Code,Year,HealthSystem_Score
LTU,2017,0
LUX,2017,40
MDG,2017,40
MWI,2017,100
MDV,2017,40
MLI,2017,40
MLT,2017,0
MHL,2017,80
MRT,2017,40
MUS,2017,40
MEX,2017,100
FSM,2017,80
MCO,2017,60
MNG,2017,40
MNE,2017,20
MAR,2017,100
MOZ,2017,60
MMR,2017,40
NAM,2017,100
NPL,2017,0
NLD,2017,60
NZL,2017,100
NIC,2017,100
NER,2017,100
NGA,2017,40
MKD,2017,60
NOR,2017,100
OMN,2017,100
PAK,2017,60
PLW,2017,100
PAN,2017,60
PRY,2017,60
PER,2017,60
PHL,2017,40
POL,2017,0
PRT,2017,60
QAT,2017,0
KOR,2017,100
ROU,2017,40
RWA,2017,60
KNA,2017,0
SMR,2017,40
STP,2017,0
SAU,2017,100
SEN,2017,60
SRB,2017,0
SYC,2017,100
SLE,2017,60
SGP,2017,100
SVK,2017,100
SVN,2017,0
SLB,2017,40
SOM,2017,40
ZAF,2017,100
SSD,2017,0
ESP,2017,80
LKA,2017,80
SDN,2017,100
SUR,2017,40
SWE,2017,100
CHE,2017,20
SYR,2017,40
THA,2017,100
TLS,2017,40
TGO,2017,80
TTO,2017,0
TUN,2017,40
TUR,2017,100
TUV,2017,20
UGA,2017,60
UKR,2017,40
ARE,2017,80
GBR,2017,40
TZA,2017,100
USA,2017,100
URY,2017,60
VUT,2017,0
VEN,2017,100
VNM,2017,100
YEM,2017,100
ZMB,2017,40
ZWE,2017,60
ZWE,2011,50
ATG,2011,25
ARG,2011,100
BHS,2011,25
BRB,2011,75
BLZ,2011,25
BOL,2011,0
BRA,2011,100
CAN,2011,100
CHL,2011,100
COL,2011,0
CRI,2011,75
CUB,2011,100
DMA,2011,75
ECU,2011,50
SLV,2011,75
GRD,2011,50
GTM,2011,25
GUY,2011,75
HTI,2011,25
HND,2011,50
JAM,2011,25
MEX,2011,100
NIC,2011,0
PAN,2011,25
PRY,2011,100
LCA,2011,25
SUR,2011,0
USA,2011,100
VEN,2011,50
AFG,2011,25
BHR,2011,50
EGY,2011,75
IRN,2011,50
IRQ,2011,75
JOR,2011,100
KWT,2011,75
LBN,2011,25
LBY,2011,50
MAR,2011,100
OMN,2011,100
QAT,2011,50
SAU,2011,100
SDN,2011,25
SYR,2011,25
TUN,2011,25
ARE,2011,0
AND,2011,0
ARM,2011,0
AUT,2011,100
AZE,2011,100
BLR,2011,0
BEL,2011,50
BIH,2011,0
BGR,2011,0
HRV,2011,100
CYP,2011,0
CZE,2011,50
DNK,2011,0
EST,2011,75
FIN,2011,75
FRA,2011,50
GEO,2011,100
DEU,2011,25
HUN,2011,75
ISL,2011,0
IRL,2011,25
ITA,2011,50
KAZ,2011,100
KGZ,2011,0
LVA,2011,25
LTU,2011,0
LUX,2011,0
MLT,2011,0
MCO,2011,25
NLD,2011,0
POL,2011,0
PRT,2011,100
MDA,2011,25
ROU,2011,25
RUS,2011,100
