Country Name,Country Code,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021
Aruba,ABW,25712.3843015186,25119.6655449838,25813.5767274227,26129.8390617693,27458.2253310273,27441.5296617282,28440.051963759,30082.1276448186,31096.2050738676,22855.9323200761,27200.0610793969
Africa Eastern and Southern,AFE,1735.58514005394,1702.96925758003,1673.14047580686,1656.10764215035,1479.56412348117,1329.77782375583,1520.17129839287,1538.92418773564,1493.78044490037,1344.08096192004,1522.59008804972
Afghanistan,AFG,606.694676337726,651.417134470046,637.087099117099,625.054941813938,565.569730408751,522.082215583898,525.469770891619,491.337221382603,496.6025042585,510.787063366811,356.496214115892
Africa Western and Central,AFW,1824.72282666403,1920.11991168727,2113.31698591778,2204.99569969979,1845.76780421108,1616.84319800249,1560.16299864482,1703.89639222804,1783.65436491191,1664.24917643553,1747.84054911545
Angola,AGO,4615.91059831778,5086.02740086376,5057.74787833163,5005.9997412707,3213.90261080059,1807.95294072643,2437.25971190821,2538.59139143371,2189.85571407618,1449.92286669308,1925.87466082167
Albania,ALB,4437.14116097061,4247.63134315945,4413.06338346821,4578.63320812155,3952.80357364813,4124.05538986272,4531.03220675893,5365.48934672897,5460.42823730592,5370.77862312929,6413.28328605026
Andorra,AND,46657.1561173756,41500.5435791686,42470.3161159692,44369.659691379,38654.9347203095,40129.8192007698,40672.9943348258,42819.7745797624,41257.8045846483,37361.0900666982,42425.6996756291
Arab World,ARB,6883.37402358513,7336.19770815465,7311.29675508093,7259.93672933779,6203.70263640435,5957.05983659325,6005.39012863954,6576.51663083912,6525.21184312384,5648.34111789395,6445.80726093411
United Arab Emirates,ARE,50789.0505418347,52034.4762466073,52023.5170958751,51381.4069909213,43534.9972681733,41326.4018161834,42340.5917145576,45689.8570040215,44251.4541390148,37173.8754100281,43360.0211014806
Argentina,ARG,12704.2831819684,12949.717486654,12963.675773326,12233.1444119186,13679.6264980954,12699.9623137756,14532.5009308511,11752.7998922979,9955.97478680428,8535.59938004389,10738.0179223384
Armenia,ARM,3349.55309771906,3511.56399687426,3680.16692158886,3852.11800610384,3512.39350276709,3524.42476874707,3869.05373867752,4196.00562301769,4597.22887399548,4268.68093304583,4685.17997128509
American Samoa,ASM,10383.459331451,11745.4899153958,11813.5022034589,12026.3344929488,12727.4102651386,12843.3342903627,11863.6839452565,12552.0546868861,12886.1359517218,14489.2586563775,15236.1604875571
Antigua and Barbuda,ATG,14841.9709613705,15208.6569723517,15050.7122765935,15533.4831254394,16080.6580495873,16557.843174789,16924.7894487758,18273.4270684912,18884.3729680383,15360.4544160475,17340.3790692554
Australia,AUS,62605.600458306,68072.8732340801,68190.7010035651,62544.0873773726,56739.0265346593,49888.0410842736,53901.7145392154,57196.4220783778,54972.7017885437,51791.540179984,60607.7788605166
Austria,AUT,51116.8953522042,48250.4059142637,50305.3545774973,51314.9722616322,43915.228020857,45061.4993920192,47163.7425775142,51194.0749841299,49885.9947355204,48716.4098900349,53648.7190742245
Azerbaijan,AZE,7189.81869211976,7495.86527658099,7875.34536661549,7890.84028062087,5500.50364628486,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023
Burundi,BDI,230.070577369084,231.688496393569,234.843045388828,250.540481111877,280.966831311923,235.286205393908,236.694472592753,224.89939239264,210.236494521532,210.008139902508,214.091455416133
Belgium,BEL,47760.8298776546,44874.1709182123,46964.5946777056,47995.7786961339,40893.804537772,41854.5498296444,44035.3239358548,47487.2100392561,46716.6227467964,45906.2875805246,51655.7883303715
Benin,BEN,1059.41358915783,1071.52583567484,1168.92699314206,1204.39918700511,1002.41886882564,1010.53389609187,1054.97408141687,1151.74096952152,1130.82135304977,1197.50136428063,1318.83497843483
Burkina Faso,BFA,725.024767725475,731.470138867833,759.762065168498,764.861675106225,630.124750752312,663.742364842886,709.091535894695,777.465618514048,764.853077774946,825.237038782475,895.535288442991
Bangladesh,BGD,837.336944695647,859.680536375497,958.262989798283,1094.46199702838,1224.38647668165,1649.28380858601,1811.08221668646,1965.24372731467,2129.79896954606,2248.85078828233,2482.84917843357
Bulgaria,BGR,7857.16706984441,7430.7373804242,7687.71368243317,7912.27484371138,7078.86032298969,7570.93165511708,8381.88134621669,9436.14479876055,9838.60058985384,10198.5388313404,12274.0775950496
Bahrain,BHR,25032.7867743333,26438.6733230428,26989.7601148469,26451.7965647453,23734.0551143019,23800.001440631,24784.7693514607,26324.4066549559,27259.7438599327,24342.8444554718,27147.8083882286
"Bahamas, The",BHS,27090.8376801379,28552.0242683151,27432.9534269421,28705.6170840548,30289.4022514831,30266.5859220987,31337.1832464755,32124.4051059669,32979.5401279534,25155.6725432789,28682.3270000732
Bosnia and Herzegovina,BIH,4982.69375768263,4693.78899115381,5034.56616016469,5206.06558252,4662.25883724069,4928.5665251728,5345.01985489192,6047.84584261133,6122.3753450882,6130.31133245161,7295.3438240957
Belarus,BLR,6527.6593428786,6953.21591683101,7998.0802045456,8341.29014337961,5967.06856034227,5039.77560949445,5785.53397723676,6360.05310087258,6837.76832136779,6542.8645398436,7489.71894713888
Belize,BLZ,5582.22170621269,5709.68918765363,5950.20299917747,6128.14288539305,6154.49593498217,6142.49873185177,6072.58267640581,6031.28139580144,6190.04792278445,5227.19363786168,6122.61158580079
Bermuda,BMU,99049.0169927667,100213.493385287,101704.40746217,100961.576602811,104855.366822135,108747.356144305,112339.425587467,113204.82210838,115798.040775578,106973.175732348,112712.025120653
Bolivia,BOL,2315.52121930607,2575.59857098084,2870.02377000756,3041.43503118107,2996.01289804214,3035.8734778704,3306.30301176558,3500.72642189371,3503.8960106182,3099.94219044572,3384.84486479247
Brazil,BRA,13396.6243566047,12521.7213530369,12458.891214816,12274.9939689363,8936.19661756825,8836.28652636996,10080.5092817775,9300.66164936497,9029.83326742175,7074.19378281866,7972.53665048385
Barbados,BRB,19345.9953139542,19034.0708028512,19308.0091116993,19277.9423599235,18954.2913724506,19065.8069800213,19692.7606711615,20055.915870771,20583.7265786414,18347.1109131055,18696.7858952957
Brunei Darussalam,BRN,46382.8274456238,46968.5971144517,44003.0644293856,41026.508391054,30625.128732694,26663.2973199878,28024.3824618568,30988.1190497851,30426.5730284202,26834.3592463839,31006.9636220576
Bhutan,BTN,2787.97967689425,2751.21288653263,2679.95217216983,2849.49998659935,2954.04081973327,3152.30905081592,3435.28804814561,3400.20417159422,3576.87987077877,3191.66907031782,3570.61257915864
Botswana,BWA,7287.38295334919,6595.53845015424,6666.91219583487,7122.36423421503,6141.20394726616,6749.05994339013,7104.96401088027,7407.95940141786,7172.08956480028,6323.31419156209,7808.20623956293
