Country_Name,Country_Code,Policy_Year,Services_Year,Legislation_Year
Afghanistan,AFG,2011,2014,2014
Albania,ALB,2011,2014,2014
Argentina,ARG,2011,2014,2014
Australia,AUS,2011,2014,2014
Azerbaijan,AZE,2011,2014,2014
Belgium,BEL,2011,2013,2013
Bangladesh,BGD,2011,2014,2014
Bosnia and Herzegovina,BIH,2011,2014,2014
Belarus,BLR,2011,2014,2016
Brazil,BRA,2011,2014,2014
Barbados,BRB,2011,2014,2014
Botswana,BWA,2011,2014,2014
China,CHN,2011,2014,2014
Cyprus,CYP,2011,2014,2014
Germany,DEU,2011,2015,2015
Denmark,DNK,2011,2014,2014
Algeria,DZA,2011,2014,2014
Egypt,EGY,2011,2014,2016
Estonia,EST,2011,2014,2016
Finland,FIN,2011,2014,2014
Micronesia (Federated States of),FSM,2011,2017,2014
Ghana,GHA,2011,2014,2014
Gambia,GMB,2011,2016,2014
Greece,GRC,2011,2014,2014
Guyana,GUY,2011,2014,2014
Croatia,HRV,2011,2014,2014
Indonesia,IDN,2011,2014,2014
Ireland,IRL,2011,2016,2016
Iran (Islamic Republic of),IRN,2011,2014,2014
Israel,ISR,2011,2014,2014
Italy,ITA,2011,2014,2014
Jamaica,JAM,2011,2014,2014
Japan,JPN,2011,2014,2014
Kyrgyzstan,KGZ,2011,2014,2014
Republic of Korea,KOR,2011,2014,2014
Liberia,LBR,2011,2016,2014
Sri Lanka,LKA,2011,2014,2014
Lithuania,LTU,2011,2014,2014
Luxembourg,LUX,2011,2014,2014
Morocco,MAR,2011,2014,2014
Monaco,MCO,2011,2014,2014
Madagascar,MDG,2011,2014,2014
Mexico,MEX,2011,2016,2014
North Macedonia,MKD,2011,2014,2014
Malta,MLT,2011,2014,2014
Myanmar,MMR,2011,2014,2014
Montenegro,MNE,2011,2014,2014
Malaysia,MYS,2011,2014,2014
Namibia,NAM,2011,2014,2014
Netherlands,NLD,2011,2015,2014
Norway,NOR,2011,2016,2016
New Zealand,NZL,2011,2014,2014
Pakistan,PAK,2011,2014,2014
Peru,PER,2011,2016,2014
Papua New Guinea,PNG,2011,2014,2014
Poland,POL,2011,2014,2014
Portugal,PRT,2011,2014,2014
Qatar,QAT,2011,2016,2014
Romania,ROU,2011,2014,2014
Russian Federation,RUS,2011,2014,2014
Saudi Arabia,SAU,2011,2014,2014
Sudan,SDN,2011,2014,2014
Senegal,SEN,2011,2014,2016
Singapore,SGP,2011,2014,2014
Sierra Leone,SLE,2011,2014,2017
Serbia,SRB,2011,2014,2014
Slovakia,SVK,2011,2017,2017
Thailand,THA,2011,2014,2014
Trinidad and Tobago,TTO,2011,2014,2014
Tunisia,TUN,2011,2014,2014
United Republic of Tanzania,TZA,2011,2014,2015
Uzbekistan,UZB,2011,2014,2014
Vanuatu,VUT,2011,2016,2016
Samoa,WSM,2011,2014,2014
South Africa,ZAF,2011,2014,2014
Zambia,ZMB,2011,2014,2014
Zimbabwe,ZWE,2011,2014,2014
