Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25880941,IHR07,COUNTRY,LTU,YEAR,2017,,,,,,,,,0,0,,,,2021-06-14T10:35:11Z,2017,2017-01-01,2017-12-31
25880954,IHR07,COUNTRY,LUX,YEAR,2017,,,,,,,,,40,40,,,,2021-06-14T10:35:11Z,2017,2017-01-01,2017-12-31
25880967,IHR07,COUNTRY,MDG,YEAR,2017,,,,,,,,,40,40,,,,2021-06-14T10:35:11Z,2017,2017-01-01,2017-12-31
25880980,IHR07,COUNTRY,MWI,YEAR,2017,,,,,,,,,100,100,,,,2021-06-14T10:35:12Z,2017,2017-01-01,2017-12-31
25880993,IHR07,COUNTRY,MDV,YEAR,2017,,,,,,,,,40,40,,,,2021-06-14T10:35:12Z,2017,2017-01-01,2017-12-31
25881006,IHR07,COUNTRY,MLI,YEAR,2017,,,,,,,,,40,40,,,,2021-06-14T10:35:12Z,2017,2017-01-01,2017-12-31
25881019,IHR07,COUNTRY,MLT,YEAR,2017,,,,,,,,,0,0,,,,2021-06-14T10:35:12Z,2017,2017-01-01,2017-12-31
25881032,IHR07,COUNTRY,MHL,YEAR,2017,,,,,,,,,80,80,,,,2021-06-14T10:35:13Z,2017,2017-01-01,2017-12-31
25881045,IHR07,COUNTRY,MRT,YEAR,2017,,,,,,,,,40,40,,,,2021-06-14T10:35:13Z,2017,2017-01-01,2017-12-31
25881058,IHR07,COUNTRY,MUS,YEAR,2017,,,,,,,,,40,40,,,,2021-06-14T10:35:13Z,2017,2017-01-01,2017-12-31
25881071,IHR07,COUNTRY,MEX,YEAR,2017,,,,,,,,,100,100,,,,2021-06-14T10:35:13Z,2017,2017-01-01,2017-12-31
25881084,IHR07,COUNTRY,FSM,YEAR,2017,,,,,,,,,80,80,,,,2021-06-14T10:35:13Z,2017,2017-01-01,2017-12-31
25881097,IHR07,COUNTRY,MCO,YEAR,2017,,,,,,,,,60,60,,,,2021-06-14T10:35:14Z,2017,2017-01-01,2017-12-31
25881110,IHR07,COUNTRY,MNG,YEAR,2017,,,,,,,,,40,40,,,,2021-06-14T10:35:14Z,2017,2017-01-01,2017-12-31
25881123,IHR07,COUNTRY,MNE,YEAR,2017,,,,,,,,,20,20,,,,2021-06-14T10:35:14Z,2017,2017-01-01,2017-12-31
25881136,IHR07,COUNTRY,MAR,YEAR,2017,,,,,,,,,100,100,,,,2021-06-14T10:35:14Z,2017,2017-01-01,2017-12-31
25881149,IHR07,COUNTRY,MOZ,YEAR,2017,,,,,,,,,60,60,,,,2021-06-14T10:35:15Z,2017,2017-01-01,2017-12-31
25881162,IHR07,COUNTRY,MMR,YEAR,2017,,,,,,,,,40,40,,,,2021-06-14T10:35:15Z,2017,2017-01-01,2017-12-31
25881175,IHR07,COUNTRY,NAM,YEAR,2017,,,,,,,,,100,100,,,,2021-06-14T10:35:15Z,2017,2017-01-01,2017-12-31
25881188,IHR07,COUNTRY,NPL,YEAR,2017,,,,,,,,,0,0,,,,2021-06-14T10:35:15Z,2017,2017-01-01,2017-12-31
25881201,IHR07,COUNTRY,NLD,YEAR,2017,,,,,,,,,60,60,,,,2021-06-14T10:35:16Z,2017,2017-01-01,2017-12-31
25881214,IHR07,COUNTRY,NZL,YEAR,2017,,,,,,,,,100,100,,,,2021-06-14T10:35:16Z,2017,2017-01-01,2017-12-31
25881227,IHR07,COUNTRY,NIC,YEAR,2017,,,,,,,,,100,100,,,,2021-06-14T10:35:16Z,2017,2017-01-01,2017-12-31
25881240,IHR07,COUNTRY,NER,YEAR,2017,,,,,,,,,100,100,,,,2021-06-14T10:35:16Z,2017,2017-01-01,2017-12-31
25881253,IHR07,COUNTRY,NGA,YEAR,2017,,,,,,,,,40,40,,,,2021-06-14T10:35:17Z,2017,2017-01-01,2017-12-31
25881266,IHR07,COUNTRY,MKD,YEAR,2017,,,,,,,,,60,60,,,,2021-06-14T10:35:17Z,2017,2017-01-01,2017-12-31
25881279,IHR07,COUNTRY,NOR,YEAR,2017,,,,,,,,,100,100,,,,2021-06-14T10:35:17Z,2017,2017-01-01,2017-12-31
25881292,IHR07,COUNTRY,OMN,YEAR,2017,,,,,,,,,100,100,,,,2021-06-14T10:35:17Z,2017,2017-01-01,2017-12-31
25881305,IHR07,COUNTRY,PAK,YEAR,2017,,,,,,,,,60,60,,,,2021-06-14T10:35:18Z,2017,2017-01-01,2017-12-31
25881318,IHR07,COUNTRY,PLW,YEAR,2017,,,,,,,,,100,100,,,,2021-06-14T10:35:18Z,2017,2017-01-01,2017-12-31
25881331,IHR07,COUNTRY,PAN,YEAR,2017,,,,,,,,,60,60,,,,2021-06-14T10:35:18Z,2017,2017-01-01,2017-12-31
25881344,IHR07,COUNTRY,PRY,YEAR,2017,,,,,,,,,60,60,,,,2021-06-14T10:35:18Z,2017,2017-01-01,2017-12-31
25881357,IHR07,COUNTRY,PER,YEAR,2017,,,,,,,,,60,60,,,,2021-06-14T10:35:18Z,2017,2017-01-01,2017-12-31
