Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2282788,MH_4,COUNTRY,MWI,YEAR,2011,,,,,,,,,1,1,,,,2013-10-10T13:17:10Z,2011,2011-01-01,2011-12-31
2282796,MH_4,COUNTRY,MYS,YEAR,2011,,,,,,,,,0.39,0.39,,,,2013-10-10T13:17:10Z,2011,2011-01-01,2011-12-31
2282850,MH_4,COUNTRY,NIC,YEAR,2011,,,,,,,,,1,1,,,,2013-10-10T13:17:12Z,2011,2011-01-01,2011-12-31
2282887,MH_4,COUNTRY,NLD,YEAR,2011,,,,,,,,,10.65,10.65,,,,2013-10-10T13:17:14Z,2011,2011-01-01,2011-12-31
2282924,MH_4,COUNTRY,NPL,YEAR,2011,,,,,,,,,0.7,0.7,,,,2013-10-10T13:17:16Z,2011,2011-01-01,2011-12-31
2282937,MH_4,COUNTRY,NRU,YEAR,2011,,,,,,,,,0.69,0.69,,,,2013-10-10T13:17:16Z,2011,2011-01-01,2011-12-31
2282948,MH_4,COUNTRY,NZL,YEAR,2011,,,,,,,,,10,10,,,,2013-10-10T13:17:16Z,2011,2011-01-01,2011-12-31
2283016,MH_4,COUNTRY,PER,YEAR,2011,,,,,,,,,0.27,0.27,,,,2013-10-10T13:17:18Z,2011,2011-01-01,2011-12-31
2283048,MH_4,COUNTRY,PLW,YEAR,2011,,,,,,,,,0.82,0.82,,,,2013-10-10T13:17:19Z,2011,2011-01-01,2011-12-31
2283064,MH_4,COUNTRY,PNG,YEAR,2011,,,,,,,,,0.1,0.1,,,,2013-10-10T13:17:19Z,2011,2011-01-01,2011-12-31
2283081,MH_4,COUNTRY,POL,YEAR,2011,,,,,,,,,5.08,5.08,,,,2013-10-10T13:17:20Z,2011,2011-01-01,2011-12-31
2283113,MH_4,COUNTRY,PRT,YEAR,2011,,,,,,,,,5.24,5.24,,,,2013-10-10T13:17:21Z,2011,2011-01-01,2011-12-31
2283132,MH_4,COUNTRY,PRY,YEAR,2011,,,,,,,,,0.31,0.31,,,,2013-10-10T13:17:21Z,2011,2011-01-01,2011-12-31
