Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20734962,MH_25,COUNTRY,AFG,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734963,MH_25,COUNTRY,AGO,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734964,MH_25,COUNTRY,ALB,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734965,MH_25,COUNTRY,ARE,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734966,MH_25,COUNTRY,ARG,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734967,MH_25,COUNTRY,ARM,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734968,MH_25,COUNTRY,ATG,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734969,MH_25,COUNTRY,AUS,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2015,2015-01-01,2015-12-31
20734970,MH_25,COUNTRY,AUT,YEAR,2015,,,,,,,,,No,,,,,2019-04-25T08:24:55Z,2015,2015-01-01,2015-12-31
20734971,MH_25,COUNTRY,AZE,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734972,MH_25,COUNTRY,BDI,YEAR,2017,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2017,2017-01-01,2017-12-31
20734973,MH_25,COUNTRY,BEL,YEAR,2013,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2013,2013-01-01,2013-12-31
20734974,MH_25,COUNTRY,BFA,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734975,MH_25,COUNTRY,BGD,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734976,MH_25,COUNTRY,BGR,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734977,MH_25,COUNTRY,BHR,YEAR,2017,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2017,2017-01-01,2017-12-31
20734978,MH_25,COUNTRY,BHS,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2015,2015-01-01,2015-12-31
20734979,MH_25,COUNTRY,BIH,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2015,2015-01-01,2015-12-31
20734980,MH_25,COUNTRY,BLR,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734981,MH_25,COUNTRY,BLZ,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734982,MH_25,COUNTRY,BOL,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734983,MH_25,COUNTRY,BRA,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734984,MH_25,COUNTRY,BRB,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2015,2015-01-01,2015-12-31
20734985,MH_25,COUNTRY,BRN,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734986,MH_25,COUNTRY,BTN,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734987,MH_25,COUNTRY,BWA,YEAR,2017,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2017,2017-01-01,2017-12-31
20734988,MH_25,COUNTRY,CAF,YEAR,2017,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2017,2017-01-01,2017-12-31
20734989,MH_25,COUNTRY,CAN,YEAR,2017,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2017,2017-01-01,2017-12-31
20734990,MH_25,COUNTRY,CHE,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2015,2015-01-01,2015-12-31
20734991,MH_25,COUNTRY,CHL,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734992,MH_25,COUNTRY,CHN,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2015,2015-01-01,2015-12-31
20734993,MH_25,COUNTRY,CIV,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:55Z,2016,2016-01-01,2016-12-31
20734994,MH_25,COUNTRY,CMR,YEAR,2017,,,,,,,,,Yes,,,,,2019-04-25T08:24:56Z,2017,2017-01-01,2017-12-31
20734995,MH_25,COUNTRY,COG,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:56Z,2016,2016-01-01,2016-12-31
20734996,MH_25,COUNTRY,COK,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:56Z,2016,2016-01-01,2016-12-31
20734997,MH_25,COUNTRY,COL,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:56Z,2016,2016-01-01,2016-12-31
20734998,MH_25,COUNTRY,COM,YEAR,2017,,,,,,,,,No,,,,,2019-04-25T08:24:56Z,2017,2017-01-01,2017-12-31
20734999,MH_25,COUNTRY,CPV,YEAR,2017,,,,,,,,,Yes,,,,,2019-04-25T08:24:56Z,2017,2017-01-01,2017-12-31
20735000,MH_25,COUNTRY,CRI,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:56Z,2016,2016-01-01,2016-12-31
20735001,MH_25,COUNTRY,CUB,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:24:56Z,2016,2016-01-01,2016-12-31
20735002,MH_25,COUNTRY,CYP,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:24:56Z,2015,2015-01-01,2015-12-31
20735003,MH_25,COUNTRY,CZE,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:24:56Z,2015,2015-01-01,2015-12-31
20735004,MH_25,COUNTRY,DEU,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:24:56Z,2015,2015-01-01,2015-12-31
20735005,MH_25,COUNTRY,DNK,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:56Z,2016,2016-01-01,2016-12-31
20735006,MH_25,COUNTRY,DOM,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:56Z,2016,2016-01-01,2016-12-31
20735007,MH_25,COUNTRY,DZA,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:24:56Z,2016,2016-01-01,2016-12-31
20735008,MH_25,COUNTRY,ECU,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:56Z,2016,2016-01-01,2016-12-31
20735009,MH_25,COUNTRY,EGY,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:56Z,2016,2016-01-01,2016-12-31
20735010,MH_25,COUNTRY,ERI,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:24:56Z,2016,2016-01-01,2016-12-31
