Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2282744,MH_1,COUNTRY,MOZ,YEAR,2011,,,,,,,,,No,,,,,2013-10-10T13:17:09Z,2011,2011-01-01,2011-12-31
2282757,MH_1,COUNTRY,MRT,YEAR,2011,,,,,,,,,Yes,,,,,2013-10-10T13:17:09Z,2011,2011-01-01,2011-12-31
2282780,MH_1,COUNTRY,MUS,YEAR,2011,,,,,,,,,No,,,,,2013-10-10T13:17:10Z,2011,2011-01-01,2011-12-31
2282791,MH_1,COUNTRY,MWI,YEAR,2011,,,,,,,,,No,,,,,2013-10-10T13:17:10Z,2011,2011-01-01,2011-12-31
2282803,MH_1,COUNTRY,MYS,YEAR,2011,,,,,,,,,Yes,,,,,2013-10-10T13:17:10Z,2011,2011-01-01,2011-12-31
2282817,MH_1,COUNTRY,NAM,YEAR,2011,,,,,,,,,Yes,,,,,2013-10-10T13:17:11Z,2011,2011-01-01,2011-12-31
2282830,MH_1,COUNTRY,NER,YEAR,2011,,,,,,,,,No,,,,,2013-10-10T13:17:11Z,2011,2011-01-01,2011-12-31
2282841,MH_1,COUNTRY,NGA,YEAR,2011,,,,,,,,,Yes,,,,,2013-10-10T13:17:11Z,2011,2011-01-01,2011-12-31
2282854,MH_1,COUNTRY,NIC,YEAR,2011,,,,,,,,,No,,,,,2013-10-10T13:17:12Z,2011,2011-01-01,2011-12-31
2282869,MH_1,COUNTRY,NIU,YEAR,2011,,,,,,,,,No,,,,,2013-10-10T13:17:13Z,2011,2011-01-01,2011-12-31
2282895,MH_1,COUNTRY,NLD,YEAR,2011,,,,,,,,,Yes,,,,,2013-10-10T13:17:15Z,2011,2011-01-01,2011-12-31
2282915,MH_1,COUNTRY,NOR,YEAR,2011,,,,,,,,,Yes,,,,,2013-10-10T13:17:15Z,2011,2011-01-01,2011-12-31
2282928,MH_1,COUNTRY,NPL,YEAR,2011,,,,,,,,,Yes,,,,,2013-10-10T13:17:16Z,2011,2011-01-01,2011-12-31
2282942,MH_1,COUNTRY,NRU,YEAR,2011,,,,,,,,,No,,,,,2013-10-10T13:17:16Z,2011,2011-01-01,2011-12-31
2282963,MH_1,COUNTRY,NZL,YEAR,2011,,,,,,,,,Yes,,,,,2013-10-10T13:17:17Z,2011,2011-01-01,2011-12-31
2282979,MH_1,COUNTRY,OMN,YEAR,2011,,,,,,,,,Yes,,,,,2013-10-10T13:17:17Z,2011,2011-01-01,2011-12-31
2282992,MH_1,COUNTRY,PAK,YEAR,2011,,,,,,,,,Yes,,,,,2013-10-10T13:17:17Z,2011,2011-01-01,2011-12-31
2283013,MH_1,COUNTRY,PAN,YEAR,2011,,,,,,,,,Yes,,,,,2013-10-10T13:17:18Z,2011,2011-01-01,2011-12-31
2283024,MH_1,COUNTRY,PER,YEAR,2011,,,,,,,,,Yes,,,,,2013-10-10T13:17:18Z,2011,2011-01-01,2011-12-31
2283042,MH_1,COUNTRY,PHL,YEAR,2011,,,,,,,,,Yes,,,,,2013-10-10T13:17:19Z,2011,2011-01-01,2011-12-31
2283055,MH_1,COUNTRY,PLW,YEAR,2011,,,,,,,,,No,,,,,2013-10-10T13:17:19Z,2011,2011-01-01,2011-12-31
