Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20735381,MH_3,COUNTRY,AFG,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735382,MH_3,COUNTRY,AGO,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735383,MH_3,COUNTRY,ALB,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735384,MH_3,COUNTRY,ARE,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735385,MH_3,COUNTRY,ARG,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735386,MH_3,COUNTRY,ARM,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735387,MH_3,COUNTRY,ATG,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735388,MH_3,COUNTRY,AUS,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2015,2015-01-01,2015-12-31
20735389,MH_3,COUNTRY,AUT,YEAR,2015,,,,,,,,,No,,,,,2019-04-25T08:25:04Z,2015,2015-01-01,2015-12-31
20735390,MH_3,COUNTRY,AZE,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735391,MH_3,COUNTRY,BDI,YEAR,2017,,,,,,,,,No,,,,,2019-04-25T08:25:04Z,2017,2017-01-01,2017-12-31
20735392,MH_3,COUNTRY,BEL,YEAR,2013,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2013,2013-01-01,2013-12-31
20735393,MH_3,COUNTRY,BFA,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735394,MH_3,COUNTRY,BGD,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735395,MH_3,COUNTRY,BGR,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735396,MH_3,COUNTRY,BHR,YEAR,2017,,,,,,,,,No,,,,,2019-04-25T08:25:04Z,2017,2017-01-01,2017-12-31
20735397,MH_3,COUNTRY,BHS,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2015,2015-01-01,2015-12-31
20735398,MH_3,COUNTRY,BIH,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2015,2015-01-01,2015-12-31
20735399,MH_3,COUNTRY,BLR,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735400,MH_3,COUNTRY,BLZ,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735401,MH_3,COUNTRY,BOL,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735402,MH_3,COUNTRY,BRA,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735403,MH_3,COUNTRY,BRB,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2015,2015-01-01,2015-12-31
20735404,MH_3,COUNTRY,BRN,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735405,MH_3,COUNTRY,BTN,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:25:04Z,2016,2016-01-01,2016-12-31
20735406,MH_3,COUNTRY,BWA,YEAR,2017,,,,,,,,,Yes ,,,,,2019-04-25T08:25:04Z,2017,2017-01-01,2017-12-31
20735407,MH_3,COUNTRY,CAF,YEAR,2017,,,,,,,,,No,,,,,2019-04-25T08:25:04Z,2017,2017-01-01,2017-12-31
20735408,MH_3,COUNTRY,CAN,YEAR,2017,,,,,,,,,Yes,,,,,2019-04-25T08:25:05Z,2017,2017-01-01,2017-12-31
20735409,MH_3,COUNTRY,CHE,YEAR,2015,,,,,,,,,No,,,,,2019-04-25T08:25:05Z,2015,2015-01-01,2015-12-31
20735410,MH_3,COUNTRY,CHL,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:25:05Z,2016,2016-01-01,2016-12-31
20735411,MH_3,COUNTRY,CHN,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:25:05Z,2015,2015-01-01,2015-12-31
20735412,MH_3,COUNTRY,CIV,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:25:05Z,2016,2016-01-01,2016-12-31
20735413,MH_3,COUNTRY,CMR,YEAR,2017,,,,,,,,,No,,,,,2019-04-25T08:25:05Z,2017,2017-01-01,2017-12-31
20735414,MH_3,COUNTRY,COG,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:25:05Z,2016,2016-01-01,2016-12-31
20735415,MH_3,COUNTRY,COK,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:05Z,2016,2016-01-01,2016-12-31
20735416,MH_3,COUNTRY,COL,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:05Z,2016,2016-01-01,2016-12-31
20735417,MH_3,COUNTRY,COM,YEAR,2017,,,,,,,,,Yes,,,,,2019-04-25T08:25:05Z,2017,2017-01-01,2017-12-31
20735418,MH_3,COUNTRY,CPV,YEAR,2017,,,,,,,,,Yes,,,,,2019-04-25T08:25:05Z,2017,2017-01-01,2017-12-31
20735419,MH_3,COUNTRY,CRI,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:25:05Z,2016,2016-01-01,2016-12-31
20735420,MH_3,COUNTRY,CUB,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:25:05Z,2016,2016-01-01,2016-12-31
20735421,MH_3,COUNTRY,CYP,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:25:05Z,2015,2015-01-01,2015-12-31
20735422,MH_3,COUNTRY,CZE,YEAR,2015,,,,,,,,,No,,,,,2019-04-25T08:25:05Z,2015,2015-01-01,2015-12-31
20735423,MH_3,COUNTRY,DEU,YEAR,2015,,,,,,,,,Yes,,,,,2019-04-25T08:25:05Z,2015,2015-01-01,2015-12-31
20735424,MH_3,COUNTRY,DNK,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:05Z,2016,2016-01-01,2016-12-31
20735425,MH_3,COUNTRY,DOM,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:05Z,2016,2016-01-01,2016-12-31
20735426,MH_3,COUNTRY,DZA,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:05Z,2016,2016-01-01,2016-12-31
20735427,MH_3,COUNTRY,ECU,YEAR,2016,,,,,,,,,No,,,,,2019-04-25T08:25:05Z,2016,2016-01-01,2016-12-31
20735428,MH_3,COUNTRY,EGY,YEAR,2016,,,,,,,,,Yes,,,,,2019-04-25T08:25:05Z,2016,2016-01-01,2016-12-31
