Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
20735555,MH_5,COUNTRY,ARM,YEAR,2016,,,,,,,,,19.5,19.5,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735556,MH_5,COUNTRY,ATG,YEAR,2016,,,,,,,,,8,8,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735557,MH_5,COUNTRY,AUS,YEAR,2015,,,,,,,,,7.8,7.8,,,,2019-04-25T08:25:08Z,2015,2015-01-01,2015-12-31
20735558,MH_5,COUNTRY,AZE,YEAR,2016,,,,,,,,,3.5,3.5,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735559,MH_5,COUNTRY,BDI,YEAR,2017,,,,,,,,,0.2,0.2,,,,2019-04-25T08:25:08Z,2017,2017-01-01,2017-12-31
20735560,MH_5,COUNTRY,BGD,YEAR,2016,,,,,,,,,0.5,0.5,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735561,MH_5,COUNTRY,BGR,YEAR,2016,,,,,,,,,2.7,2.7,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735562,MH_5,COUNTRY,BHR,YEAR,2017,,,,,,,,,3.2,3.2,,,,2019-04-25T08:25:08Z,2017,2017-01-01,2017-12-31
20735563,MH_5,COUNTRY,BLR,YEAR,2016,,,,,,,,,2.1,2.1,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735564,MH_5,COUNTRY,BRA,YEAR,2016,,,,,,,,,1,1,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735565,MH_5,COUNTRY,BRB,YEAR,2015,,,,,,,,,9.2,9.2,,,,2019-04-25T08:25:08Z,2015,2015-01-01,2015-12-31
20735566,MH_5,COUNTRY,BTN,YEAR,2016,,,,,,,,,0.3,0.3,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735567,MH_5,COUNTRY,CHE,YEAR,2015,,,,,,,,,5.1,5.1,,,,2019-04-25T08:25:08Z,2015,2015-01-01,2015-12-31
20735568,MH_5,COUNTRY,CHL,YEAR,2016,,,,,,,,,2.1,2.1,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735569,MH_5,COUNTRY,COK,YEAR,2016,,,,,,,,,1,1,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735570,MH_5,COUNTRY,CRI,YEAR,2016,,,,,,,,,2,2,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735571,MH_5,COUNTRY,CZE,YEAR,2015,,,,,,,,,4,4,,,,2019-04-25T08:25:08Z,2015,2015-01-01,2015-12-31
20735572,MH_5,COUNTRY,DEU,YEAR,2015,,,,,,,,,11.3,11.3,,,,2019-04-25T08:25:08Z,2015,2015-01-01,2015-12-31
20735573,MH_5,COUNTRY,DOM,YEAR,2016,,,,,,,,,0.7,0.7,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735574,MH_5,COUNTRY,ECU,YEAR,2016,,,,,,,,,1.5,1.5,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735575,MH_5,COUNTRY,EGY,YEAR,2016,,,,,,,,,0.5,0.5,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735576,MH_5,COUNTRY,EST,YEAR,2016,,,,,,,,,2.9,2.9,,,,2019-04-25T08:25:08Z,2016,2016-01-01,2016-12-31
20735577,MH_5,COUNTRY,FIN,YEAR,2017,,,,,,,,,5.6,5.6,,,,2019-04-25T08:25:08Z,2017,2017-01-01,2017-12-31
